EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
PEDALA CURITIBA - BAIRRO NOVO;2016-04-25;2016-04-25;1;2;Sítio Cercado;Esporte;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - SAMBAQUI;2016-04-04;2016-04-04;1;2;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - COQUEIROS;2016-04-05;2016-04-05;1;3;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - SÃO JOÃO DEL REY;2016-04-07;2016-04-07;1;5;Sítio Cercado;Saúde;informacao tel
REUNIÃO DA COMISSÃO LOCAL DE SAÚDE - UPA SÍTIO CERCADO;2016-04-07;2016-04-07;1;5;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - XAPINHAL;2016-04-11;2016-04-11;1;2;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - BAIRRO NOVO;2016-04-11;2016-04-11;1;2;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - JOÃO CÂNDIDO;2016-04-12;2016-04-12;1;3;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO LOCAL DE SAÚDE - OSTERNACK;2016-04-13;2016-04-13;1;4;Sítio Cercado;Saúde;informacao tel
REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE - BAIRRO NOVO;2016-04-14;2016-04-14;1;5;Sítio Cercado;Saúde;informacao tel
